ID,Site,GENSPE,FAM,TL,W,TUBE_g,TUBE_SIA,Notes,
B014,B,Eviota distigma,Gobiidae,14,NA,g023,,,
B015,B,Eviota distigma,Gobiidae,11,NA,g024,,double-check?,
B016,B,Fowleria vaiulae,Apogonidae,90,NA,g025,,,
B017,B,Eviota prasina,Gobiidae,13,NA,,s011,,
B018,B,Eviota distigma,Gobiidae,12,NA,g026,,,
B019,B,Eviota prasina,Gobiidae,10,NA,g027,,,
B020,B,Eviota prasina,Gobiidae,12,NA,g028,,,
B021,B,Eviota prasina,Gobiidae,9,NA,g029,,,
B022,B,Eviota prasina,Gobiidae,6,NA,g030,,,
B023,B,Pleurosicya plicata,Gobiidae,9,NA,g031,,,
B024,B,Dascyllus abudafur,Pomacentridae,NA,NA,B1,,,
B025,B,Eviota prasina,Gobiidae,8.17,0.001,g032,,,
B026,B,Eviota prasina,Gobiidae,8.8,0.005,g033,,,
B027,B,Eviota prasina,Gobiidae,NA,NA,,s012,,
B028,B,Labridae sp,Labridae,8.54,0.001,g034,,,
B029,B,Eviota prasina,Gobiidae,8.83,0.001,g035,,,
B030,B,Eviota prasina,Gobiidae,11.68,0.011,,s013,,
B031,B,Eviota prasina,Gobiidae,8.02,0.004,g036,,,
B032,B,Eviota prasina,Gobiidae,8.86,0.004,,s014,,
B033,B,Eviota prasina,Gobiidae,9.21,0.003,g037,,,
B034,B,Eviota prasina,Gobiidae,8.75,0.006,,s015,,
B035,B,Labridae sp,Labridae,9.53,0.008,g038,,,
C001,C,Eviota zebrina,Gobiidae,17.16,0.01,g039,,,
C002,C,Eviota zebrina,Gobiidae,17.4,0.011,g040,,,
C003,C,Eviota zebrina,Gobiidae,18.6,0.037,g041,,,
C004,C,Eviota sebreei,Gobiidae,15.67,0.026,,s016,,
C005,C,Eviota sebreei,Gobiidae,13.21,0.015,,s017,,
C006,C,Hazeus maculipinna,Gobiidae,14.68,0.023,g042,,,
C007,C,Callogobius sclateri,Gobiidae,18.08,0.052,g043,,,
C008,C,Gobiodon rivulatus,Gobiidae,15.69,0.059,g044,,,
C009,C,Pristiapogon abrogramma,Apogonidae,21.95,0.061,g045,,,
C010,C,Pristiapogon abrogramma,Apogonidae,23.1,0.077,g046,,,
C011,C,Pristiapogon abrogramma,Apogonidae,25.05,0.113,g047,,,
C012,C,Callogobius flavobrunneus,Gobiidae,26.84,0.201,g048,,,
C013,C,Dascyllus abudafur,Pomacentridae,21.99,0.199,g049,,,
C014,C,Dascyllus abudafur,Pomacentridae,29.33,0.541,g050+C1c,,,
C015,C,Fusigobius duospilus,Gobiidae,54.08,1.496,g051,,,
C016,C,Eviota sp,Gobiidae,13.38,0.016,g052,,,
C017,C,Eviota infulata,Gobiidae,14.4,0.019,,s018,,
C019,C,Eviota prasina,Gobiidae,13.67,0.018,,s019,,
C020,C,Eviota infulata,Gobiidae,13.44,0.016,g053,,,
C021,C,Eviota prasina,Gobiidae,11.01,0.003,,s020,,
C022,C,Halichoeres hortulanus,Labridae,11.28,0.007,g054,,Larvae,
C023,C,Dascyllus abudafur,Pomacentridae,9.89,0.007,g055,,,
C024,C,Fusigobius duospilus,Gobiidae,15.45,0.014,g056,,,
C025,C,Eviota sebreei,Gobiidae,13.27,0.007,,s021,,
C026,C,Eviota sebreei,Gobiidae,9.99,0.005,,s022,,
C027,C,Eviota distigma,Gobiidae,9.78,0.004,,s023,,
C028,C,Eviota sebreei,Gobiidae,9.36,0.004,,s024,,
C029,C,Eviota sebreei,Gobiidae,9.07,0.003,,s025,,
C030,C,Eviota distigma,Gobiidae,9.54,0.004,,s026,,
C031,C,Eviota sebreei,Gobiidae,10.13,0.005,,s027,,
C032,C,Eviota sebreei,Gobiidae,10.01,0.004,,s028,,
C033,C,Eviota prasina,Gobiidae,9.88,0.003,,s029,,
C034,C,Eviota sebreei,Gobiidae,9.17,0.003,,,Lost,
C035,C,Eviota sebreei,Gobiidae,9.02,0.002,,s030,,
C036,C,Eviota prasina,Gobiidae,8.66,0.002,,s031,,
C037,C,Dascyllus abudafur,Pomacentridae,41.09,1.6,g057+C1c,,,
D001,D,Chromis viridis,Pomacentridae,39.44,0.876,g058+D1c,,,
D002,D,Chromis viridis,Pomacentridae,40.71,1.189,g059+D1c,,,
D003,D,Chromis viridis,Pomacentridae,33.62,0.452,g060+D1c,,,
D004,D,Fusigobius duospilus,Gobiidae,38.8,0.533,g061+D1c,,,
D005,D,Chlidichthys chagosensis,Pseudochromidae,35.99,0.478,,s032,,
D006,D,Pomacentrus caeruleus,Pomacentridae,21.07,0.103,g062,,,
D007,D,Dascyllus abudafur,Pomacentridae,18.65,0.115,g063,,,
D008,D,Dascyllus abudafur,Pomacentridae,12.47,0.045,g064,,,
D009,D,Priolepis cincta,Gobiidae,30.05,0.222,g065,,,
D010,D,Priolepis cincta,Gobiidae,19.72,0.071,g066,,,
D011,D,Priolepis cincta,Gobiidae,22.26,0.079,g067,,,
D012,D,Vanderhorstia ornatissima,Gobiidae,26.45,0.089,g068,,,
D013,D,Oplopomus oplopomus,Gobiidae,27.96,0.156,g069,,,
D014,D,Eviota guttata,Gobiidae,20.82,0.074,,s033,,
D015,D,Eviota distigma,Gobiidae,19.59,0.077,,s034,,
D016,D,Pristiapogon abrogramma,Apogonidae,NA,NA,g070,,,
D017,D,Eviota sebreei,Gobiidae,17.11,0.037,,s035,,
D018,D,Eviota sebreei,Gobiidae,15.89,0.027,,s036,,
D019,D,Eviota sebreei,Gobiidae,17.43,0.041,,s037,,
D020,D,Eviota sebreei,Gobiidae,16.61,0.038,,s038,,
D021,D,Eviota prasina,Gobiidae,14.46,0.026,g071,,,
D022,D,Eviota prasina,Gobiidae,13.95,0.025,g072,,,
D023,D,Eviota prasina,Gobiidae,11.03,0.011,,s038b,,
D024,D,Eviota guttata,Gobiidae,13.43,0.014,,s039,,
D025,D,Eviota prasina,Gobiidae,12.96,0.021,,s040,,
D026,D,Fusigobius duospilus,Gobiidae,NA,NA,g073,,,
D027,D,Labridae sp,Labridae,12.72,0.017,g074,,,
D028,D,Eviota guttata,Gobiidae,13.81,0.014,,s041,,
D029,D,Eviota prasina,Gobiidae,11.55,0.016,,s042,,
D030,D,Eviota prasina,Gobiidae,9.92,0.011,,s043,,
D031,D,Eviota distigma,Gobiidae,10.98,0.013,,s044,,
D032,D,Eviota distigma,Gobiidae,10.95,0.016,,s045,,
D033,D,Eviota prasina,Gobiidae,NA,0.07,,s046,,
D034,D,Eviota prasina,Gobiidae,8.16,0.002,,s047,,
D035,D,Eviota distigma,Gobiidae,8.57,0.002,,s048,,
D036,D,Eviota distigma,Gobiidae,NA,0.004,,s049,,
D037,D,Eviota prasina,Gobiidae,7.81,0.003,,s050,,
D038,D,Eviota prasina,Gobiidae,8.31,0.005,,s051,,
D039,D,Eviota prasina,Gobiidae,7.88,0.001,,s052,,
D040,D,Eviota prasina,Gobiidae,NA,0.003,g075,,Larvae,
D041,D,Eviota prasina,Gobiidae,8.41,0.004,g076,,,
D042,D,Eviota prasina,Gobiidae,NA,0.003,g077,,,
D043,D,Eviota prasina,Gobiidae,8.86,0.003,g078,,,
D044,D,Chromis viridis,Pomacentridae,37.23,0.801,g079+D1c,,,
D045,D,Chromis viridis,Pomacentridae,32.74,NA,g080+D1c,,,
D046,D,Chromis viridis,Pomacentridae,38.95,0.909,g081+D1c,,,
D047,D,Chromis viridis,Pomacentridae,41.32,1.008,g082+D1c,,,
D048,D,Chromis viridis,Pomacentridae,33.91,0.588,g083+D1c,,,
D049,D,Dascyllus abudafur,Pomacentridae,35.37,0.967,g084+D1c,,,
D050,D,Saurida gracilis,Synodontidae,50.06,1.015,g085,s053,,
D051,D,Dascyllus abudafur,Pomacentridae,81.05,11.328,g086,,,
D052,D,Stegastes lacrymatus,Pomacentridae,48.97,NA,g087,,,
E001,E,Pseudocheilinus hexataenia,Labridae,39.03,0.868,g088+E1c,,,
E002,E,Gobiodon rivulatus,Gobiidae,30.3,0.584,g089,,,
E003,E,Pomacentrus caeruleus,Pomacentridae,28.1,0.271,g090,,,
E004,E,Pomacentrus caeruleus,Pomacentridae,22.04,0.093,g091,,,
E005,E,Pomacentrus caeruleus,Pomacentridae,21.55,0.1,g092,,,
E006,E,Pomacentrus caeruleus,Pomacentridae,22.12,0.135,g093,,,
E007,E,Stegastes nigricans,Pomacentridae,19.34,0.106,g094,,,
E008,E,Stegastes nigricans,Pomacentridae,16.37,0.067,g095,,,
E009,E,Dascyllus abudafur,Pomacentridae,30.88,0.635,g096+E1c,,,
E010,E,Fusigobius duospilus,Gobiidae,23.01,0.086,g097,,,
E011,E,Eviota sp,Gobiidae,18.99,0.057,g098,,No pic,
E012,E,Labrichthys unilineatus,Labridae,9.8,0.006,g099,,,
E013,E,Eviota sebreei,Gobiidae,16.81,0.042,,s054,,
E014,E,Fowleria vaiulae,Apogonidae,15.26,0.036,g100,,,
E015,E,Pleurosicya mossambica,Gobiidae,16.05,0.028,g101,,,
E016,E,Eviota guttata,Gobiidae,17.17,0.038,g102,,,
E017,E,Eviota guttata,Gobiidae,13.37,0.014,g103,,,
E018,E,Eviota guttata,Gobiidae,14.22,0.014,g104,,,
E019,E,Eviota guttata,Gobiidae,13.33,0.014,,s055,,
E020,E,Eviota guttata,Gobiidae,14.15,0.017,,s056,,
E021,E,Pleurosicya mossambica,Gobiidae,12.69,0.009,g105,,,
E022,E,Eviota guttata,Gobiidae,13.16,0.016,,s057,,
E023,E,Eviota sebreei,Gobiidae,10.62,0.006,,s058,,
E024,E,Eviota sebreei,Gobiidae,11.63,0.006,,s059,,
E025,E,Eviota sebreei,Gobiidae,10.5,0.004,,s060,,
E026,E,Eviota sebreei,Gobiidae,10.43,0.005,,s061,,
E027,E,Eviota sebreei,Gobiidae,NA,0.006,,s062,,
E028,E,Fusigobius duospilus,Gobiidae,NA,0.011,g106,,,
E029,E,Croilia sp,Gobiidae,13.23,0.008,g107,,,
E030,E,Amblygobius semicinctus,Gobiidae,18.35,0.026,g108,,,
E031,E,Dascyllus abudafur,Pomacentridae,36.26,1.041,g109+E1c,,,
E032,E,Dascyllus abudafur,Pomacentridae,24.6,0.34,g110,,,
E033,E,Pomacentrus caeruleus,Pomacentridae,50.75,1.993,g111+E1c,,,
E034,E,Gobiodon rivulatus,Gobiidae,29.24,0.593,g112,,,
E035,E,Gobiodon rivulatus,Gobiidae,29.85,0.49,g113,,,
E036,E,Gobiodon rivulatus,Gobiidae,29.26,0.558,g114,,,
E037,E,Fusigobius duospilus,Gobiidae,40.78,0.741,g115+E1c,,,
E038,E,Dascyllus abudafur,Pomacentridae,21.77,0.24,g116,,,
E039,E,Pomacentrus caeruleus,Pomacentridae,38.82,0.836,g117+E1c,,,
E040,E,Gobiodon rivulatus,Gobiidae,30.25,0.565,g118,,,
E041,E,Chlidichthys chagosensis,Pseudochromidae,40.24,0.655,g119,s063,,
E042,E,Chromis viridis,Pomacentridae,36.17,NA,g120+E1c,,,
F001,F,Chlidichthys chagosensis,Pseudochromidae,36.63,0.497,,s064,,
F002,F,Fusigobius duospilus,Gobiidae,43.44,0.748,g122,,,
F003,F,Fusigobius duospilus,Gobiidae,32.34,0.296,g123,,,
F004,F,Gnatholepis cauerensis,Gobiidae,35.01,0.51,g124,,,
F005,F,Fusigobius duospilus,Gobiidae,32.39,0.34,g125,,,
F006,F,Congridae sp,Congridae,37.79,0.051,g126,,,
F007,F,Eviota zebrina,Gobiidae,18.83,0.04,g127,,,
F008,F,Eviota distigma,Gobiidae,19.1,0.063,,s065,,
F009,F,Eviota distigma,Gobiidae,19.15,0.057,,s066,,
F010,F,Eviota distigma,Gobiidae,19.04,0.07,,s067,,
F011,F,Eviota distigma,Gobiidae,18.62,0.076,,s068,,
F012,F,Gobiidae sp,Gobiidae,16.66,0.049,g128,,,
F013,F,Eviota zebrina,Gobiidae,17.09,0.037,g129,,,
F014,F,Eviota zebrina,Gobiidae,16.95,0.035,g130,,,
F015,F,Eviota infulata,Gobiidae,13.13,0.018,g131,,,
F016,F,Eviota infulata,Gobiidae,13.44,0.016,,s069,,
F017,F,Eviota infulata,Gobiidae,13.6,0.016,,s070,,
F018,F,Eviota infulata,Gobiidae,12.88,0.026,,s071,,
F019,F,Chlidichthys chagosensis,Pseudochromidae,14.62,0.021,,s072,Larvae,
F020,F,Eviota guttata,Gobiidae,13.98,0.016,,s073,,
F021,F,Pseudocheilinus hexataenia,Labridae,11.43,0.016,g132,,,
F022,F,Eviota sp,Gobiidae,14.1,0.021,g133,,,
F023,F,Eviota sp,Gobiidae,13.6,0.018,g134,,,
F024,F,Gobiidae sp,Gobiidae,9.2,NA,g135,,,
F025,F,Eviota infulata,Gobiidae,13.07,0.019,,s074,,
F026,F,Eviota distigma,Gobiidae,8.66,0.01,,s075,,
F027,F,Eviota prasina,Gobiidae,9.22,0.006,g136,,,
F028,F,Eviota sp,Gobiidae,7.67,0.001,g137,,,
G001,G,Muraenidae sp,Muraenidae,104.76,1.186,g138+G1c,,,
G002,G,Muraenidae sp,Muraenidae,51.34,0.073,g139,,,
G003,G,Chlidichthys chagosensis,Pseudochromidae,34.09,0.394,g140,s076,,
G004,G,Fowleria marmorata,Apogonidae,22.54,0.132,g141,,,
G005,G,Eviota sebreei,Gobiidae,16.26,0.034,,s077,,
G006,G,Eviota guttata,Gobiidae,20.87,0.08,g142,,,
G007,G,Eviota guttata,Gobiidae,14.12,0.017,g143,,,
G008,G,Eviota sebreei,Gobiidae,16.37,0.032,,s078,,
G009,G,Eviota guttata,Gobiidae,13.62,0.019,g144,,,
G010,G,Eviota guttata,Gobiidae,13.97,0.016,g145,,,
G011,G,Eviota guttata,Gobiidae,13.33,0.016,g146,,,
G012,G,Chromis viridis,Pomacentridae,11.53,0.017,g147,,,
G013,G,Chromis viridis,Pomacentridae,10.4,0.015,g148,,,
G014,G,Chromis viridis,Pomacentridae,9.87,0.014,g149,,,
G015,G,Eviota sebreei,Gobiidae,10.77,0.005,,s079,,
G016,G,Eviota sebreei,Gobiidae,11.27,0.008,,s080,,
G017,G,Eviota sebreei,Gobiidae,10.47,0.005,,s081,,
G018,G,Eviota sebreei,Gobiidae,11.09,0.007,,s082,,
G019,G,Eviota sebreei,Gobiidae,10.6,0.005,,s083,,
G020,G,Eviota sebreei,Gobiidae,11.18,0.006,,s084,,
G021,G,Eviota sebreei,Gobiidae,NA,0.005,,s085,,
G022,G,Eviota sebreei,Gobiidae,10.7,0.002,,s086,,
G023,G,Fusigobius duospilus,Gobiidae,12.82,0.011,g150,,,
G024,G,Amblygobius albimaculatus,Gobiidae,54.55,2.456,g151+G2c,,,
G025,G,Amblygobius albimaculatus,Gobiidae,95.5,9.018,g152+G2c,,,
H001,H,Helcogramma fuscopinna,Tripterygiidae,34.04,0.426,g153,,,
H002,H,Helcogramma fuscopinna,Tripterygiidae,30.29,0.306,g154,,,
H003,H,Pomacentrus caeruleus,Pomacentridae,20.05,0.089,g155,,,
H004,H,Pomacentrus indicus,Pomacentridae,16.96,0.048,g156,,,
H005,H,Labridae sp,Labridae,21,0.115,g157,,,
H006,H,Stegastes lacrymatus,Pomacentridae,13.3,0.043,g158,,,
H007,H,Apogon coccineus,Apogonidae,17.74,0.058,g159,,,
H008,H,Pseudocheilinus hexataenia,Labridae,10.29,0.014,g160,,,
H009,H,Pseudocheilinus hexataenia,Labridae,9.24,0.011,g161,,,
H010,H,Eviota nebulosa,Gobiidae,16.51,0.048,,s087,,
H011,H,Glyptoparus delicatulus,Blenniidae,14.73,0.02,g162,,,
H012,H,Eviota nebulosa,Gobiidae,13.04,0.019,,s088,,
H013,H,Glyptoparus delicatulus,Blenniidae,19.87,0.065,g163,,,
H014,H,Gobiesocidae sp,Gobiesocidae,10.32,0.012,g164,,,
H015,H,Eviota nebulosa,Gobiidae,11.48,0.013,,s089,,
H016,H,Eviota nebulosa,Gobiidae,NA,NA,,s090,,
I001,I,Chlidichthys chagosensis,Pseudochromidae,36.41,0.49,g165,s091,,
I002,I,Ecsenius nalolo,Blenniidae,31.67,0.347,g166,,,
I003,I,Pomacentrus caeruleus,Pomacentridae,29.29,0.327,g167,,,
I004,I,Pomacentrus caeruleus,Pomacentridae,22.16,0.098,g168,,,
I005,I,Pomacentrus indicus,Pomacentridae,24.76,0.171,g169,,,
I006,I,Helcogramma fuscopinna,Tripterygiidae,33.46,0.398,g170,,,
I007,I,Helcogramma fuscopinna,Tripterygiidae,23.3,0.114,g171,,,
I008,I,Enneapterygius abeli,Tripterygiidae,18.28,0.049,g172,,,
I009,I,Eviota guttata,Gobiidae,20.88,0.074,,s092,,
I010,I,Eviota guttata,Gobiidae,18.63,0.056,,s093,,
I011,I,Labridae sp,Labridae,19.96,0.058,g173,,,
I012,I,Priolepis compita,Gobiidae,15.12,0.03,g174,,,
I013,I,Eviota nebulosa,Gobiidae,12.66,0.021,,s094,,
I014,I,Eviota guttata,Gobiidae,15.5,0.027,,s095,,
I015,I,Eviota guttata,Gobiidae,13.78,0.015,,s096,,
I016,I,Eviota guttata,Gobiidae,13.31,0.011,,s097,,
I017,I,Eviota prasina,Gobiidae,10.66,0.009,,s098,,
I018,I,Eviota prasina,Gobiidae,12.84,0.019,,s099,,
I019,I,Eviota nebulosa,Gobiidae,9.77,0.008,,s100,,
I020,I,Eviota prasina,Gobiidae,9.58,0.007,g175,,,
I021,I,Eviota nebulosa,Gobiidae,9.95,0.008,,s101,,
I022,I,Eviota sp,Gobiidae,9.98,0.006,g176,,,
I023,I,Eviota prasina,Gobiidae,9.93,0.008,,s102,,
I024,I,Eviota sebreei,Gobiidae,10.73,0.007,,s103,,
I025,I,Eviota nebulosa,Gobiidae,9.93,0.007,,s104,,
I026,I,Eviota nebulosa,Gobiidae,8.48,0.004,g177,,,
I027,I,Eviota sebreei,Gobiidae,9.62,0.004,,s105,,
I028,I,Pleurosicya plicata,Gobiidae,12.06,0.008,g178,,Or Phyllogobius platycephalops,
I029,I,Callogobius sclateri,Gobiidae,9.63,0.008,g179,,Flat fish,
I030,I,Ctenochaetus truncatus,Acanthuridae,33.94,1.009,g180+I1c,,,
I031,I,Ctenochaetus truncatus,Acanthuridae,34.32,1.118,g181+I1c,,,
I032,I,Ctenochaetus truncatus,Acanthuridae,33.85,0.962,g182+I1c,,,
J001,J,Ptereleotris evides,Microdesmidae,67.2,2.307,g183+J1c,,,
J002,J,Cephalopholis nigripinnis,Epinephelidae,38.12,0.79,g184+J1c,,,
J003,J,Stegastes lacrymatus,Pomacentridae,28.48,0.312,g185,,,
J004,J,Pomacentrus indicus,Pomacentridae,23.44,0.199,g186,,,
J005,J,Pomacentrus caeruleus,Pomacentridae,20.22,0.093,g187,,,
J006,J,Pomacentrus indicus,Pomacentridae,16.11,0.049,g188,,,
J007,J,Callogobius sclateri,Gobiidae,26.23,0.264,g189,,,
J008,J,Fowleria vaiulae,Apogonidae,14.98,0.043,g190,,,
J009,J,Priolepis compita,Gobiidae,14.99,0.027,g191,,,
J010,J,Chlidichthys chagosensis,Pseudochromidae,14.75,0.028,,s106,Larvae,
J011,J,Eviota prasina,Gobiidae,17.58,0.052,g192,,,
J012,J,Apogon indicus,Apogonidae,15.67,0.039,g193,,,
J013,J,Pleurosicya mossambica,Gobiidae,19.5,0.053,g194,,,
J014,J,Pleurosicya plicata,Gobiidae,16.15,0.033,g195,,Or Phyllogobius platycephalops,
J015,J,Priolepis compita,Gobiidae,16.65,0.04,g196,,,
J016,J,Eviota prasina,Gobiidae,15.46,0.033,g197,,,
J017,J,Eviota cf afelei,Gobiidae,13.93,0.02,g198,,,
J018,J,Eviota prasina,Gobiidae,15.03,0.034,g199,,,
J019,J,Eviota cf afelei,Gobiidae,10.76,0.008,,s108,,
J020,J,Eviota cf afelei,Gobiidae,10.46,0.009,,s109,,
J021,J,Eviota prasina,Gobiidae,13.17,0.021,,s110,,
J022,J,Eviota cf afelei,Gobiidae,10.84,0.013,,s111,,
J023,J,Callogobius sclateri,Gobiidae,10.54,0.008,g200,,,
J024,J,Pseudocheilinus hexataenia,Labridae,8.99,0.008,g201,,,
J025,J,Eviota cf afelei,Gobiidae,10.27,0.006,,s112,,
J026,J,Eviota cf afelei,Gobiidae,9.97,0.009,,s113,,
J027,J,Eviota sebreei,Gobiidae,10.26,0.004,,s114,,
J028,J,Eviota nebulosa,Gobiidae,NA,0.005,,s115,,
J029,J,Eviota nebulosa,Gobiidae,9.23,0.005,,s116,,
J030,J,Eviota cf afelei,Gobiidae,9.04,0.005,,s117,,
J031,J,Eviota cf afelei,Gobiidae,9.3,0.005,,s118,,
J032,J,Eviota cf afelei,Gobiidae,9.43,0.005,,s119,,
K001,K,Chlidichthys chagosensis,Pseudochromidae,38.26,0.648,g202,s120,,
K002,K,Chlidichthys chagosensis,Pseudochromidae,35.98,0.539,g203,s121,,
K003,K,Chlidichthys chagosensis,Pseudochromidae,36.06,0.51,g204,s122,,
K004,K,Paragobiodon echinocephalus,Gobiidae,25.41,0.335,g205,,,
K005,K,Trimmatom eviotops,Gobiidae,15.15,0.033,g206,,,
K006,K,Phyllogobius platycephalops,Gobiidae,29.06,0.128,g207,,Or P. plicata,
K007,K,Phyllogobius platycephalops,Gobiidae,23.2,0.064,g208,,Or P. plicata,
K008,K,Stegastes lacrymatus,Pomacentridae,23.51,0.184,g209,,,
K009,K,Pomacentrus caeruleus,Pomacentridae,22.06,0.119,g210,,,
K010,K,Pomacentrus indicus,Pomacentridae,14.77,NA,g211,,,
K011,K,Chlidichthys chagosensis,Pseudochromidae,19.31,0.065,,s122,Larvae,
K012,K,Chlidichthys chagosensis,Pseudochromidae,16.55,0.031,,s123,Larvae,
K013,K,Chlidichthys chagosensis,Pseudochromidae,13.38,0.023,,s124,Larvae,
K014,K,Chlidichthys chagosensis,Pseudochromidae,15.36,0.028,,s125,Larvae,
K015,K,Chlidichthys chagosensis,Pseudochromidae,15.13,0.023,,s126,Larvae,
K016,K,Chlidichthys chagosensis,Pseudochromidae,14.5,0.026,,s127,Larvae,
K017,K,Eviota distigma,Gobiidae,16.72,0.049,,s128,,
K018,K,Eviota notata,Gobiidae,16.27,0.04,,s129,,
K019,K,Ecsenius nalolo,Blenniidae,17.1,0.045,g212,,,
K020,K,Eviota sebreei,Gobiidae,19.37,0.06,,s130,,
K021,K,Eviota sebreei,Gobiidae,16.36,0.031,,s131,,
K022,K,Eviota nebulosa,Gobiidae,12.36,0.014,,s132,,
K023,K,Eviota guttata,Gobiidae,15.76,0.03,,s133,,
K024,K,Eviota sebreei,Gobiidae,15.09,0.023,,s134,,
K025,K,Eviota cf afelei,Gobiidae,14.31,0.022,,s135,,
K026,K,Eviota prasina,Gobiidae,13.96,0.026,g214,,,
K027,K,Eviota prasina,Gobiidae,14.55,0.028,g215,,,
K028,K,Eviota prasina,Gobiidae,14.7,0.024,g216,,,
K029,K,Eviota prasina,Gobiidae,13.99,0.021,g217,,,
K030,K,Eviota guttata,Gobiidae,14.49,0.017,,s136,,
K031,K,Eviota prasina,Gobiidae,13.28,0.018,g218,,,
K032,K,Eviota nebulosa,Gobiidae,11.98,0.011,,s137,,
K033,K,Eviota cf afelei,Gobiidae,13.01,0.02,,s138,,
K034,K,Eviota cf afelei,Gobiidae,11.97,0.011,,s139,,
K035,K,Eviota nebulosa,Gobiidae,11.23,0.011,,s140,,
K036,K,Eviota nebulosa,Gobiidae,9.99,0.006,,s141,,
K037,K,Eviota infulata,Gobiidae,10.09,0.006,,s142,,
K038,K,Eviota sebreei,Gobiidae,10.52,0.006,,s143,,
K039,K,Eviota cf afelei,Gobiidae,10.6,0.009,,s144,,
K040,K,Eviota cf afelei,Gobiidae,11.16,0.012,,s145,,
K041,K,Eviota cf afelei,Gobiidae,9.54,0.006,,,,
K042,K,Eviota cf afelei,Gobiidae,9.59,0.044,g219,,,
K043,K,Eviota sebreei,Gobiidae,11.02,0.005,,s147,,
K044,K,Eviota sp,Gobiidae,9.32,0.007,g220,,,
K045,K,Pleurosicya plicata,Gobiidae,11.98,0.009,g221,,,
K046,K,Eviota sp,Gobiidae,9.48,0.004,g222,,,
K047,K,Pleurosicya plicata,Gobiidae,8.64,0.004,,s148,,
K048,K,Pleurosicya plicata,Gobiidae,9.52,0.005,g223,,,
L001,L,Pseudogramma polyacantha,Serranidae,51.41,2.371,g224+L1c,,,
L002,L,Pseudogramma polyacantha,Serranidae,39.94,1.085,g225+L1c,,,
L003,L,Chlidichthys chagosensis,Pseudochromidae,39.43,0.524,g226,s149,,
L004,L,Apogon coccineus,Apogonidae,21.93,0.122,g227,,,
L005,L,Chlidichthys chagosensis,Pseudochromidae,23.13,0.125,,s150,Larvae,
L006,L,Eviota nebulosa,Gobiidae,18.19,0.054,,s151,,
L007,L,Eviota nebulosa,Gobiidae,17.94,0.057,,s152,,
L008,L,Eviota guttata,Gobiidae,18.39,0.053,,s153,,
L009,L,Eviota nebulosa,Gobiidae,14.49,0.018,,s154,,
L010,L,Eviota nebulosa,Gobiidae,19.37,0.055,g228,,,
L011,L,Eviota prasina,Gobiidae,11.69,0.008,g229,,,
L012,L,Eviota prasina,Gobiidae,12.97,0.02,,s155,,
M001,M,Chlidichthys chagosensis,Pseudochromidae,35.4,0.511,g230,s156,,
M002,M,Eviota guttata,Gobiidae,17.54,0.053,,s157,,
M003,M,Eviota cf afelei,Gobiidae,12.12,0.013,,s158,,
M004,M,Eviota sebreei,Gobiidae,NA,NA,,s159,,
